idx,kpi_id,file,n_train,p_train,n_test,p_test,anomaly_weight
1,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,01_05f10d3a_239c_3bef_9bdc_a2feeb0037aa.npz,146255,1285,149130,991,0.018163489736
2,0efb375b-b902-3661-ab23-9a0bb799f4e3,02_0efb375b_b902_3661_ab23_9a0bb799f4e3.npz,8784,13,8784,71,0.001301319648
3,1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0,03_1c6d7a26_1f1a_3321_bb4d_7a9d969ec8f0.npz,146254,1064,149156,633,0.011601906158
4,301c70d8-1630-35ac-8f96-bc1b6f4359ea,04_301c70d8_1630_35ac_8f96_bc1b6f4359ea.npz,8784,114,8784,206,0.003775659824
5,42d6616d-c9c5-370a-a8ba-17ead74f3114,05_42d6616d_c9c5_370a_a8ba_17ead74f3114.npz,146253,1407,149161,1896,0.034750733138
6,43115f2a-baeb-3b01-96f7-4ea14188343c,06_43115f2a_baeb_3b01_96f7_4ea14188343c.npz,108071,5609,110629,939,0.017210410557
7,431a8542-c468-3988-a508-3afd06a218da,07_431a8542_c468_3988_a508_3afd06a218da.npz,129046,8222,111566,3286,0.060227272727
8,4d2af31a-9916-3d9f-8a8e-8a268a48c095,08_4d2af31a_9916_3d9f_8a8e_8a268a48c095.npz,128872,7396,111370,2585,0.047379032258
9,54350a12-7a9d-3ca8-b81f-f886b9d156fd,09_54350a12_7a9d_3ca8_b81f_f886b9d156fd.npz,8866,62,7616,108,0.001979472141
10,55f8b8b8-b659-38df-b3df-e4a5a8a54bc9,10_55f8b8b8_b659_38df_b3df_e4a5a8a54bc9.npz,146204,3867,149133,6091,0.111638563050
11,57051487-3a40-3828-9084-a12f7f23ee38,11_57051487_3a40_3828_9084_a12f7f23ee38.npz,128787,105,111679,46,0.000843108504
12,6a757df4-95e5-3357-8406-165e2bd49360,12_6a757df4_95e5_3357_8406_165e2bd49360.npz,129010,6853,110876,2638,0.048350439883
13,6d1114ae-be04-3c46-b5aa-be1a003a57cd,13_6d1114ae_be04_3c46_b5aa_be1a003a57cd.npz,146239,360,149122,761,0.013947947214
14,6efa3a07-4544-34a0-b921-a155bd1a05e8,14_6efa3a07_4544_34a0_b921_a155bd1a05e8.npz,145135,2767,149148,5283,0.096829178886
15,7103fa0f-cac4-314f-addc-866190247439,15_7103fa0f_cac4_314f_addc_866190247439.npz,128992,110,108425,68,0.001246334311
16,847e8ecc-f8d2-3a93-9107-f367a0aab37d,16_847e8ecc_f8d2_3a93_9107_f367a0aab37d.npz,146228,1121,149123,790,0.014479472141
17,8723f0fb-eaef-32e6-b372-6034c9c04b80,17_8723f0fb_eaef_32e6_b372_6034c9c04b80.npz,146243,556,149118,811,0.014864369501
18,9c639a46-34c8-39bc-aaf0-9144b37adfc8,18_9c639a46_34c8_39bc_aaf0_9144b37adfc8.npz,108074,6095,110636,989,0.018126832845
19,a07ac296-de40-3a7c-8df3-91f642cc14d0,19_a07ac296_de40_3a7c_8df3_91f642cc14d0.npz,106475,5663,111307,2259,0.041403958944
20,a8c06b47-cc41-3738-9110-12df0ee4c721,20_a8c06b47_cc41_3738_9110_12df0ee4c721.npz,8863,349,7578,127,0.002327712610
21,ab216663-dcc2-3a24-b1ee-2c3e550e06c9,21_ab216663_dcc2_3a24_b1ee_2c3e550e06c9.npz,11138,178,10780,187,0.003427419355
22,adb2fde9-8589-3f5b-a410-5fe14386c7af,22_adb2fde9_8589_3f5b_a410_5fe14386c7af.npz,146254,1428,149155,1692,0.031011730205
23,ba5f3328-9f3f-3ff5-a683-84437d16d554,23_ba5f3328_9f3f_3ff5_a683_84437d16d554.npz,146126,2514,149132,6777,0.124211876833
24,c02607e8-7399-3dde-9d28-8a8da5e5d251,24_c02607e8_7399_3dde_9d28_8a8da5e5d251.npz,8784,6,8784,61,0.001118035191
25,c69a50cf-ee03-3bd7-831e-407d36c7ee91,25_c69a50cf_ee03_3bd7_831e_407d36c7ee91.npz,146255,878,149159,702,0.012866568915
26,da10a69f-d836-3baa-ad40-3e548ecf1fbd,26_da10a69f_d836_3baa_ad40_3e548ecf1fbd.npz,107717,7363,107167,8750,0.160373900293
27,e0747cad-8dc8-38a9-a9ab-855b61f5551d,27_e0747cad_8dc8_38a9_a9ab_855b61f5551d.npz,8784,93,8784,116,0.002126099707
28,f0932edd-6400-3e63-9559-0a9860a1baa9,28_f0932edd_6400_3e63_9559_0a9860a1baa9.npz,128789,7254,112149,2842,0.052089442815
29,ffb82d38-5f00-37db-abc0-5d2e4e4cb6aa,29_ffb82d38_5f00_37db_abc0_5d2e4e4cb6aa.npz,128784,6822,111396,2855,0.052327712610
